name,cid,pubchem_url,formula,molecular_weight,pubchem_smiles,pubchem_xlogp,pubchem_tpsa
Imatinib,5291,https://pubchem.ncbi.nlm.nih.gov/compound/5291,C29H31N7O,493.6,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,3.5,86.3
Gefitinib,123631,https://pubchem.ncbi.nlm.nih.gov/compound/123631,C22H24ClFN4O3,446.9,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,4.1,68.7
Erlotinib,176870,https://pubchem.ncbi.nlm.nih.gov/compound/176870,C22H23N3O4,393.4,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,3.3,74.7
