cycle,base_count,mean_phred,q30_percent
228,500,39.208000,97.000000
229,500,38.652000,96.600000
230,500,39.342000,97.800000
231,500,39.314000,98.000000
232,500,39.614000,98.600000
233,500,39.658000,99.000000
234,500,39.410000,98.200000
235,500,38.802000,97.200000
236,500,39.188000,97.200000
237,500,38.788000,95.800000
238,500,39.794000,99.600000
239,500,39.746000,99.600000
240,500,39.710000,99.800000
241,500,39.322000,97.800000
242,500,39.746000,99.200000
243,500,39.916000,100.000000
244,500,39.742000,99.200000
245,500,39.170000,97.400000
246,500,39.548000,98.400000
247,500,39.826000,99.400000
248,500,39.950000,99.800000
249,500,39.396000,97.800000
250,500,39.124000,96.000000
251,500,39.808000,98.800000
252,500,39.972000,100.000000
253,500,38.768000,95.000000
254,500,39.932000,99.800000
255,500,38.818000,96.400000
256,500,39.942000,99.800000
257,500,39.784000,99.800000
258,500,39.546000,98.800000
259,500,39.942000,99.800000
260,500,39.778000,99.600000
261,500,39.570000,98.200000
262,500,39.814000,99.400000
263,500,38.984000,95.800000
264,500,39.696000,98.600000
265,500,39.282000,97.800000
266,500,39.610000,98.200000
267,500,39.418000,97.400000
268,500,39.444000,97.800000
269,500,39.402000,97.600000
270,500,39.646000,99.000000
271,500,39.520000,98.400000
272,500,39.338000,97.200000
273,500,30.768000,65.000000
274,500,27.738000,52.400000
275,500,29.026000,56.800000
276,500,27.558000,43.400000
277,500,25.636000,35.600000
278,500,30.408000,63.000000
279,500,31.260000,70.000000
280,500,29.442000,59.800000
281,500,28.224000,57.600000
282,500,30.316000,66.800000
283,500,31.868000,72.400000
284,500,27.988000,56.800000
285,500,35.408000,90.800000
286,500,34.510000,87.200000
287,500,33.348000,81.400000
288,500,29.384000,50.400000
289,500,26.482000,38.800000
290,500,28.148000,49.200000
291,500,32.378000,81.400000
292,500,33.836000,83.200000
293,500,33.246000,83.800000
294,500,35.474000,90.400000
295,500,31.402000,76.400000
296,500,33.934000,82.600000
297,500,32.880000,80.000000
298,500,34.950000,88.400000
299,500,32.760000,80.600000
300,500,31.596000,72.000000
301,500,34.622000,88.000000
302,500,34.364000,86.200000
303,500,34.712000,89.200000
304,500,35.560000,90.400000
305,500,35.748000,93.200000
306,500,33.488000,83.400000
307,500,33.490000,81.000000
308,500,35.330000,91.200000
309,500,33.906000,86.000000
310,500,33.832000,86.200000
311,500,34.872000,89.600000
312,500,35.316000,90.000000
313,500,34.188000,87.000000
314,500,35.382000,92.400000
315,500,37.102000,97.200000
316,500,36.826000,97.600000
317,500,35.438000,91.200000
318,500,34.108000,83.400000
319,500,34.136000,84.600000
320,500,36.738000,96.800000
321,500,35.962000,92.800000
322,500,36.758000,96.600000
323,500,36.170000,94.600000
324,500,35.794000,92.800000
325,500,34.028000,85.600000
326,500,34.018000,86.000000
327,500,33.740000,83.600000
328,500,35.720000,94.000000
329,500,35.198000,89.000000
330,500,33.728000,84.200000
331,500,35.704000,92.400000
332,500,36.072000,94.600000
333,500,35.244000,90.200000
334,500,36.270000,96.400000
335,500,32.986000,77.000000
336,500,36.646000,95.600000
337,500,36.520000,95.600000
338,500,37.684000,99.400000
339,500,37.788000,100.000000
340,500,37.482000,98.800000
341,500,37.308000,97.800000
342,500,37.118000,97.000000
343,500,36.866000,97.200000
344,500,36.752000,95.800000
345,500,36.888000,97.000000
346,500,37.180000,97.400000
347,500,37.134000,97.000000
348,500,37.354000,98.600000
349,500,37.114000,97.400000
350,500,36.078000,91.600000
351,500,37.108000,97.800000
352,500,36.700000,96.600000
353,500,36.738000,95.200000
354,500,37.060000,97.600000
355,500,36.398000,94.200000
356,500,35.692000,90.200000
357,500,35.400000,91.000000
358,500,35.692000,91.200000
359,500,37.014000,98.200000
360,500,35.470000,91.400000
361,500,36.220000,93.200000
362,500,37.148000,98.000000
363,500,36.808000,97.200000
364,500,35.832000,91.400000
365,500,36.106000,93.000000
366,500,34.800000,87.600000
367,500,37.116000,97.600000
368,500,36.394000,93.000000
369,500,36.630000,95.600000
370,500,36.984000,97.000000
371,500,37.062000,97.000000
372,500,37.224000,98.600000
373,500,36.690000,96.200000
374,500,37.390000,98.800000
375,500,36.986000,97.200000
376,500,37.176000,98.200000
377,500,36.546000,94.000000
378,500,36.954000,96.600000
379,500,36.094000,92.600000
380,500,36.562000,94.800000
381,500,36.246000,94.800000
382,500,35.808000,91.800000
383,500,36.518000,94.400000
384,500,36.632000,96.600000
385,500,36.472000,95.400000
386,500,37.122000,97.600000
387,500,36.712000,95.600000
388,500,37.382000,99.000000
389,500,36.680000,95.000000
390,500,36.666000,96.400000
391,500,36.862000,96.600000
392,500,37.416000,98.000000
393,500,37.394000,98.600000
394,500,37.446000,98.400000
395,500,37.602000,99.200000
396,500,37.398000,98.200000
397,500,37.258000,97.000000
398,500,37.360000,98.600000
399,500,37.212000,98.200000
400,500,36.164000,94.000000
401,500,37.276000,98.000000
402,500,37.308000,98.000000
403,500,37.402000,98.200000
404,500,37.206000,99.000000
405,500,36.162000,93.200000
406,500,37.076000,96.800000
407,500,37.630000,98.400000
408,500,37.574000,99.200000
409,500,37.504000,98.800000
410,500,37.396000,98.200000
411,500,36.912000,96.000000
412,500,37.518000,99.200000
413,500,37.726000,99.800000
414,500,37.462000,99.000000
415,500,37.114000,97.400000
416,500,36.640000,95.400000
417,500,36.072000,93.400000
418,500,36.856000,96.400000
419,500,37.070000,96.800000
420,500,37.166000,97.400000
421,500,37.054000,96.000000
422,500,37.224000,97.600000
423,500,37.100000,97.400000
424,500,36.836000,96.200000
425,500,36.734000,96.200000
426,500,37.316000,98.400000
427,500,37.298000,98.200000
428,500,37.458000,98.600000
429,500,36.956000,96.800000
430,500,36.762000,96.200000
431,500,36.986000,96.200000
432,500,36.714000,95.400000
433,500,36.624000,95.600000
434,500,35.568000,92.600000
435,500,36.404000,94.200000
436,500,36.864000,95.000000
437,500,36.484000,94.600000
438,500,36.750000,96.600000
439,500,36.550000,96.600000
440,500,34.640000,89.000000
441,500,30.946000,73.400000
442,500,33.686000,82.600000
443,500,36.906000,96.600000
444,500,35.616000,92.800000
445,500,36.208000,94.000000
446,500,36.658000,95.800000
447,500,36.852000,96.800000
448,500,37.290000,98.400000
449,500,36.146000,93.600000
450,500,36.510000,97.000000
451,500,35.706000,89.800000
452,500,33.074000,80.000000
453,500,33.328000,82.200000
454,500,32.330000,75.200000
455,500,36.952000,96.600000
456,500,37.066000,97.200000
457,500,37.406000,99.000000
458,500,37.058000,97.400000
459,500,36.670000,95.800000
460,500,36.884000,96.600000
461,500,35.498000,91.600000
462,500,36.924000,97.400000
463,500,35.490000,91.200000
464,500,37.304000,98.800000
465,500,36.468000,95.200000
466,500,37.286000,99.000000
467,500,36.902000,96.600000
468,500,35.684000,93.000000
469,500,36.726000,98.000000
470,499,37.096192,96.993988
471,491,37.142566,98.574338
